Close;ETH;
18811;568;
18050;544;
18260;558;
18560;574;
18335;555;
19196;591;
19410;601;
19157;596;
18657;568;
19447;616;
19241;598;
18807;585;
19686;616;
18196;575;
17746;538;
17169;517;
17219;519;
18730;570;
19135;605;
18373;609;
18399;560;
18660;552;
18669;510;
17810;471;
17773;478;
17675;482;
16710;460;
15962;448;
16058;450;
16310;455;
16294;462;
15710;463;
15312;450;
15329;444;
15501;455;
14844;435;
15572;456;
15574;417;
14160;402;
14025;388;
13563;383;
13756;397;
13788;387;
13568;382;
13451;387;
13272;388;
13626;403;
13061;393;
13037;406;
13132;412;
12935;409;
12988;414;
12825;391;
11925;369;
11757;379;
11518;378;
11375;369;
11325;365;
11509;378;
11440;379;
11442;381;
11560;386;
11385;374;
11308;371;
11071;365;
10943;351;
10687;342;
10614;341;
10807;353;
10687;352;
10559;346;
10586;346;
10634;353;
10794;360;
10856;360;
10712;354;
10803;357;
10750;354;
10708;352;
10754;349;
10263;320;
10549;344;
10434;340;
10935;371;
11099;385;
10957;384;
10959;389;
10971;365;
10797;364;
10686;377;
10331;366;
10458;388;
10405;374;
10355;368;
10240;351;
10150;338;
10397;354;
10276;353;
10197;335;
10485;385;
10170;381;
11408;440;
11942;476;
11671;434;
11730;429;
11492;399;
11545;395;
11343;383;
11471;386;
11341;383;
11768;408;
11663;391;
11685;395;
11531;388;
11884;416;
11778;408;
11962;422;
12300;431;
11925;434;
11873;432;
11761;438;
11793;424;
11591;387;
11380;379;
11892;395;
11676;390;
11764;397;
11580;379;
11759;395;
11736;401;
11184;390;
11227;386;
11054;372;
11805;387;
11350;346;
11123;335;
11117;318;
10932;317;
11044;322;
9948;311;
9715;305;
9559;279;
9615;275;
9558;264;
9402;245;
9179;236;
9231;239;
9189;236;
9167;233;
9150;234;
9210;239;
9263;240;
9252;240;
9316;243;
9246;239;
9306;241;
9249;242;
9447;247;
9268;239;
9361;241;
9090;228;
9148;229;
9074;225;
9100;226;
9240;231;
9151;226;
9194;228;
9128;225;
9015;221;
9173;230;
9257;233;
9312;235;
9635;243;
9698;243;
9298;228;
9371;229;
9316;229;
9400;231;
9473;234;
9534;235;
9434;231;
9345;232;
9481;238;
9468;238;
9272;230;
9899;248;
9771;244;
9783;246;
9746;245;
9668;242;
9621;240;
9791;243;
9672;245;
9530;238;
10221;248;
9452;232;
9706;244;
9426;221;
9589;220;
9210;208;
8846;201;
8902;204;
8712;200;
9175;207;
9162;207;
9060;199;
9502;210;
9770;215;
9715;215;
9668;207;
9388;201;
9313;195;
9791;203;
9312;200;
8811;190;
8555;186;
8726;188;
9538;210;
9793;211;
9980;212;
9158;199;
9020;205;
8866;207;
8900;210;
8982;214;
8823;212;
8635;206;
8773;215;
7756;197;
7778;196;
7697;197;
7539;194;
7507;187;
7495;185;
7133;183;
6850;171;
6842;170;
7133;180;
7269;187;
7046;171;
7115;172;
6634;153;
6872;159;
6849;156;
6913;159;
6885;158;
6876;158;
7294;170;
7367;173;
7203;165;
7346;171;
6778;143;
6882;144;
6741;141;
6818;141;
6675;136;
6428;133;
6408;132;
5893;124;
6249;131;
6370;131;
6751;138;
6688;136;
6762;138;
6491;136;
5827;122;
6202;133;
6206;133;
6173;136;
5416;118;
5345;116;
5059;111;
5383;124;
5218;123;
5625;134;
4927;108;
7970;195;
7914;201;
7967;203;
8074;199;
8919;237;
9181;245;
9091;228;
8789;224;
8791;224;
8938;232;
8565;218;
8557;217;
8728;227;
8826;228;
8813;224;
9328;247;
9674;266;
9985;275;
9662;262;
9694;265;
