"Date";"Sentiment";"Close";"ETH";"Vol";"Haut";"Bas";"Variation";"Volatilite";
09/08/2022;42;23141;1703;4.07;23912;22888;-2.84;3.175;
08/08/2022;30;23817;1778;2.9;24224;23164;2.76;2.8;
07/08/2022;30;23178;1700;2.15;23397;22837;1.11;0.825;
06/08/2022;31;22924;1691;1.26;23341;22903;-1.66;1.385;
05/08/2022;31;23311;1738;7.08;23462;22596;3.09;2.375;
04/08/2022;30;22612;1607;4.6;23210;22390;-0.89;1.99;
03/08/2022;34;22814;1618;4.75;23627;22684;-0.74;0.075;
02/08/2022;31;22984;1631;4.22;23439;22676;-1.18;0.22;
01/08/2022;33;23259;1630;5.57;23499;22882;-0.15;0.515;
31/07/2022;39;23294;1680;3.15;24211;23233;-1.46;0.655;
30/07/2022;42;23639;1696;4.3;24641;23520;-0.53;0.465;
29/07/2022;39;23764;1721;5.03;24426;23456;-0.37;0.08;
28/07/2022;32;23852;1726;6.63;24172;22601;3.92;2.145;
27/07/2022;28;22951;1636;7.47;23098;21056;7.90;1.99;
26/07/2022;26;21271;1451;4.43;21329;20738;-0.15;4.025;
25/07/2022;30;21303;1439;4.42;22663;21262;-5.65;2.75;
24/07/2022;30;22579;1598;2.34;23001;22262;0.59;3.12;
23/07/2022;31;22446;1550;2.69;22993;21949;-1.01;0.8;
22/07/2022;33;22676;1535;5.07;23729;22517;-2.06;0.525;
21/07/2022;34;23152;1576;8.12;23409;22350;-0.25;0.905;
20/07/2022;31;23209;1520;8.44;24276;22915;-0.81;0.28;
19/07/2022;30;23398;1544;10.21;23783;21599;4.10;2.455;
18/07/2022;20;22476;1585;8.52;22749;20763;8.16;2.03;
17/07/2022;24;20781;1338;3.17;21666;20751;-2.09;5.125;
16/07/2022;21;21224;1356;3.4;21590;20477;1.96;2.025;
15/07/2022;15;20816;1231;3.59;21190;20376;1.16;0.4;
14/07/2022;18;20578;1193;6.06;20880;19647;1.64;0.24;
13/07/2022;15;20246;1116;12;20283;18927;4.84;1.6;
12/07/2022;16;19311;1039;6.78;20038;19244;-3.18;4.01;
11/07/2022;22;19945;1096;6.61;20865;19876;-4.36;0.59;
10/07/2022;24;20855;1167;2.88;21590;20678;-3.34;0.51;
09/07/2022;24;21576;1217;2.2;21967;21336;-0.11;1.615;
08/07/2022;20;21600;1217;11.6;22405;21198;-0.09;0.01;
07/07/2022;18;21620;1238;5.6;21809;20253;5.17;2.63;
06/07/2022;18;20557;1186;4.32;20666;19765;1.92;1.625;
05/07/2022;19;20169;1134;4.45;20723;19290;-0.27;1.095;
04/07/2022;14;20224;1151;3.55;20318;19057;4.74;2.505;
03/07/2022;11;19309;1074;2.35;19638;18774;0.41;2.165;
02/07/2022;14;19230;1067;1.67;19442;18994;-0.29;0.35;
01/07/2022;11;19286;1059;5.19;20795;18993;-3.27;1.49;
30/06/2022;11;19938;1069;5.75;20146;18643;-0.84;1.215;
29/06/2022;13;20107;1100;3.38;20428;19886;-0.79;0.025;
28/06/2022;10;20267;1144;2.39;21200;20204;-2.18;0.695;
27/06/2022;12;20718;1191;2.79;21509;20551;-1.66;0.26;
26/06/2022;14;21067;1198;2.8;21871;21000;-1.95;0.145;
25/06/2022;14;21485;1242;2.3;21575;20899;1.21;1.58;
24/06/2022;11;21229;1225;5.8;21526;20704;0.75;0.23;
23/06/2022;11;21071;1144;6.14;21163;19866;5.66;2.455;
22/06/2022;11;19943;1049;7.26;20848;19739;-3.62;4.64;
21/06/2022;9;20693;1126;8.18;21670;20341;0.68;2.15;
20/06/2022;9;20554;1128;6.68;20984;19628;-0.01;0.345;
19/06/2022;6;20556;1128;11.68;20744;17950;8.31;4.16;
18/06/2022;6;18978;996;17.93;20688;17611;-7.02;7.665;
17/06/2022;9;20411;1087;24.02;21347;20254;0.08;3.55;
16/06/2022;7;20394;1069;6.74;22996;20253;-9.74;4.91;
15/06/2022;7;22594;1238;17.56;22805;20089;1.90;5.82;
14/06/2022;8;22172;1211;16.45;23326;20873;-1.40;1.65;
13/06/2022;11;22487;1206;42.72;26922;22017;-15.68;7.14;
12/06/2022;14;26670;1435;8.91;28558;26640;-6.17;4.755;
11/06/2022;12;28425;1531;3.75;29452;28138;-2.33;1.92;
10/06/2022;13;29103;1663;4.85;30367;28864;-3.35;0.51;
09/06/2022;11;30112;1788;2.1;30712;29957;-0.39;1.48;
08/06/2022;17;30230;1793;2.65;31331;29887;-2.95;1.28;
07/06/2022;15;31149;1813;6.42;31577;29231;-0.71;1.12;
06/06/2022;13;31371;1860;4.78;31764;29907;4.84;2.775;
05/06/2022;10;29923;1806;1.72;30196;29541;0.16;2.34;
04/06/2022;14;29877;1805;1.5;29981;29506;0.49;0.165;
03/06/2022;10;29730;1775;3.04;30707;29346;-2.45;1.47;
02/06/2022;13;30478;1835;5.93;30712;29620;2.17;2.31;
01/06/2022;17;29832;1818;4.84;31974;29354;-6.17;4.17;
31/05/2022;16;31792;1942;2.92;32391;31220;0.21;3.19;
30/05/2022;10;31726;1998;7.93;32191;29311;7.63;3.71;
29/05/2022;14;29476;1814;2.57;29586;28851;1.51;3.06;
28/05/2022;13;29037;1792;1.65;29259;28528;1.50;0.005;
27/05/2022;12;28609;1724;4.37;29378;28267;-2.07;1.785;
26/05/2022;12;29213;1793;5.54;29859;28005;-1.05;0.51;
25/05/2022;11;29524;1943;2.15;30218;29345;-0.41;0.32;
24/05/2022;12;29647;1979;2.91;29822;28690;1.91;1.16;
23/05/2022;10;29091;1973;2.79;30666;28868;-3.94;2.925;
22/05/2022;14;30283;2043;2.68;30466;29253;2.87;3.405;
21/05/2022;13;29439;1975;1.28;29652;28963;0.81;1.03;
20/05/2022;13;29202;1960;3.94;30764;28713;-3.72;2.265;
19/05/2022;13;30329;2019;4.49;30542;28673;5.75;4.735;
18/05/2022;12;28680;1912;3.94;30702;28634;-5.79;5.77;
17/05/2022;8;30442;2091;3.07;30766;29446;1.97;3.88;
16/05/2022;14;29854;2023;4.52;31324;29083;-4.68;3.325;
15/05/2022;10;31319;2146;2.74;31416;29483;4.04;4.36;
14/05/2022;9;30104;2056;4.13;30346;28674;2.72;0.66;
13/05/2022;10;29306;2010;8.72;31068;28831;0.74;0.99;
12/05/2022;12;29090;1954;34.25;30224;26600;-0.02;0.38;
11/05/2022;12;29095;2079;28.73;32181;27902;-6.30;3.14;
10/05/2022;10;31050;2342;14.17;32681;29845;2.96;4.63;
09/05/2022;11;30158;2229;21.24;34259;30114;-11.52;7.24;
08/05/2022;18;34084;2520;6.58;35540;33779;-4.01;3.755;
07/05/2022;23;35508;2636;3.78;36163;34879;-1.48;1.265;
06/05/2022;22;36040;2693;7.6;36684;35315;-1.47;0.005;
05/05/2022;27;36577;2747;9.74;39843;36209;-7.87;3.2;
04/05/2022;21;39701;2941;5.26;39996;37695;5.17;6.52;
03/05/2022;27;37751;2781;3.62;38674;37555;-2.00;3.585;
02/05/2022;28;38520;2856;3.59;39184;38091;0.06;1.03;
01/05/2022;22;38496;2826;3.06;38689;37426;2.21;1.075;
30/04/2022;20;37662;2727;2.91;38792;37633;-2.43;2.32;
29/04/2022;23;38600;2817;3.19;39927;38201;-2.91;0.24;
28/04/2022;24;39758;2937;4.65;40364;38922;1.26;2.085;
27/04/2022;21;39263;2889;4.2;39478;37901;2.95;0.845;
26/04/2022;27;38139;2810;4.73;40800;37762;-5.73;4.34;
25/04/2022;23;40456;3006;6.01;40588;38200;2.46;4.095;
24/04/2022;24;39486;2922;2.19;39949;38963;0.10;1.18;
23/04/2022;24;39447;2932;1.92;40008;39312;-0.70;0.4;
22/04/2022;26;39724;2963;4.13;40799;39195;-1.92;0.61;
21/04/2022;27;40502;2984;4.56;42977;39807;-2.09;0.085;
20/04/2022;27;41366;3076;3.73;42195;40905;-0.36;0.865;
19/04/2022;27;41517;3102;2.4;41743;40601;1.70;1.03;
18/04/2022;24;40821;3056;4.99;41123;38557;2.80;0.55;
17/04/2022;28;39708;2989;1.66;40611;39567;-1.74;2.27;
16/04/2022;28;40409;3059;1.49;40717;40033;-0.44;0.65;
15/04/2022;22;40587;3042;2.21;40807;39792;1.60;1.02;
14/04/2022;28;39948;3022;3.17;41510;39604;-2.93;2.265;
13/04/2022;25;41155;3117;4.57;41540;39607;2.66;2.795;
12/04/2022;20;40087;3028;4.11;40649;39300;1.32;0.67;
11/04/2022;32;39565;2978;6.7;42437;39274;-6.20;3.76;
10/04/2022;34;42181;3202;3.03;43460;41933;-1.40;2.4;
09/04/2022;30;42780;3260;1.92;42824;42137;1.19;1.295;
08/04/2022;37;42277;3194;4.35;43984;42137;-2.72;1.955;
07/04/2022;34;43458;3229;2.4;43899;42804;0.60;1.66;
06/04/2022;48;43199;3169;5.84;45515;43162;-5.02;2.81;
05/04/2022;53;45481;3407;2.59;47173;45376;-2.42;1.3;
04/04/2022;52;46611;3520;3.45;46900;45128;0.49;1.455;
03/04/2022;48;46383;3521;3.01;47414;45570;1.22;0.365;
02/04/2022;52;45825;3442;2.27;47216;45640;-1.03;1.125;
01/04/2022;50;46301;3456;3.96;46717;44246;1.68;1.355;
31/03/2022;52;45535;3282;4.66;47665;45224;-3.19;2.435;
30/03/2022;55;47035;3386;4.3;47675;46602;-0.82;1.185;
29/03/2022;56;47424;3402;3.38;48099;46964;0.68;0.75;
28/03/2022;60;47105;3329;6.38;48159;46666;0.57;0.055;
27/03/2022;49;46836;3296;5.65;46862;44440;5.16;2.295;
26/03/2022;51;44536;3146;1.31;44785;44113;0.45;2.355;
25/03/2022;47;44337;3103;4.36;45082;43607;0.76;0.155;
24/03/2022;40;44003;3111;3.78;44221;42670;2.61;0.925;
23/03/2022;31;42882;3036;2.75;42995;41772;1.21;0.7;
22/03/2022;26;42370;2970;5;43319;40886;3.26;1.025;
21/03/2022;30;41031;2892;2.62;41535;40544;-0.53;1.895;
20/03/2022;31;41249;2862;1.81;42292;40933;-2.29;0.88;
19/03/2022;28;42214;2950;2.14;42373;41491;1.05;1.67;
18/03/2022;25;41774;2940;3.77;42333;40236;2.03;0.49;
17/03/2022;27;40943;2812;2.29;41451;40553;-0.50;1.265;
16/03/2022;24;41148;2774;8.54;41728;38974;4.66;2.58;
15/03/2022;21;39317;2617;5.3;39887;38212;-1.01;2.835;
14/03/2022;23;39717;2589;8.05;39977;37570;5.14;3.075;
13/03/2022;21;37777;2517;3.42;39314;37592;-2.68;3.91;
12/03/2022;22;38816;2570;1.81;39397;38679;0.20;1.44;
11/03/2022;22;38737;2557;9.57;40228;38236;-1.83;1.015;
10/03/2022;28;39459;2607;6.67;42069;38646;-5.97;2.07;
09/03/2022;22;41962;2727;5.96;42593;38693;8.27;7.12;
08/03/2022;21;38757;2577;5.51;39385;37906;1.89;3.19;
07/03/2022;23;38039;2493;6.78;39559;37198;-1.04;1.465;
06/03/2022;22;38437;2549;3.37;39715;38151;-2.46;0.71;
05/03/2022;22;39408;2665;2.19;39628;38680;0.61;1.535;
04/03/2022;33;39171;2622;6.38;42559;38621;-7.81;4.21;
03/03/2022;39;42490;2835;3.89;44103;41862;-3.33;2.24;
02/03/2022;52;43952;2947;5.57;45326;43386;-1.10;1.115;
01/03/2022;51;44442;2976;6.34;44939;42878;2.87;1.985;
28/02/2022;20;43202;2922;8.45;44198;37502;14.49;5.81;
27/02/2022;26;37734;2616;5.48;39888;37067;-3.56;9.025;
26/02/2022;26;39125;2776;3.59;40274;38633;-0.30;1.63;
25/02/2022;27;39243;2767;6.43;39717;38071;2.25;1.275;
24/02/2022;23;38380;2596;17.88;39716;34435;2.92;0.335;
23/02/2022;25;37292;2578;5.81;39270;37142;-2.63;2.775;
22/02/2022;20;38299;2637;6.2;38475;36404;3.36;2.995;
21/02/2022;25;37054;2570;8.51;39531;36829;-3.56;3.46;
20/02/2022;27;38420;2619;3.53;40164;38071;-4.29;0.365;
19/02/2022;25;40141;2764;1.46;40478;39683;0.26;2.275;
18/02/2022;30;40037;2779;4.68;40983;39571;-1.28;0.77;
17/02/2022;52;40556;2894;6.75;44188;40127;-7.59;3.155;
16/02/2022;51;43885;3122;3.27;44584;43382;-1.51;3.04;
15/02/2022;46;44560;3182;4.11;44762;42467;4.70;3.105;
14/02/2022;46;42560;2929;4.78;42852;41608;1.11;1.795;
13/02/2022;44;42091;2871;1.95;42760;41920;-0.35;0.73;
12/02/2022;44;42239;2917;2.66;43028;41810;-0.42;0.035;
11/02/2022;50;42418;2928;5.61;43965;42053;-2.59;1.085;
10/02/2022;50;43545;3072;7.33;45851;43255;-2.00;0.295;
09/02/2022;54;44432;3243;3.71;44840;43160;0.84;1.42;
08/02/2022;48;44061;3116;7.62;45400;42713;0.45;0.195;
07/02/2022;45;43865;3140;5.52;44500;41715;3.40;1.475;
06/02/2022;37;42423;3056;2.36;42730;41171;2.34;0.53;
05/02/2022;33;41454;3013;2.6;41928;40980;-0.26;1.3;
04/02/2022;20;41563;2995;8.27;41734;37070;11.34;5.8;
03/02/2022;20;37331;2693;5.03;37395;36282;1.10;5.12;
02/02/2022;28;36925;2681;4.19;38877;36660;-4.67;2.885;
01/02/2022;26;38733;2787;4.29;39350;38039;0.54;2.605;
31/01/2022;20;38526;2687;4.77;38772;36683;1.55;0.505;
30/01/2022;29;37939;2603;2.05;38349;37398;-0.68;1.115;
29/01/2022;24;38197;2600;3.55;38696;37348;1.16;0.92;
28/01/2022;24;37760;2546;4.58;38041;36197;1.46;0.15;
27/01/2022;20;37217;2425;6.94;37248;35571;1.05;0.205;
26/01/2022;23;36831;2461;10.65;38901;36301;-0.44;0.745;
25/01/2022;12;36994;2458;8.86;37545;35759;0.80;0.62;
24/01/2022;13;36702;2441;23.1;37460;32981;1.09;0.145;
23/01/2022;11;36308;2540;8.72;36550;34687;3.43;1.17;
22/01/2022;13;35103;2412;17.58;36816;34079;-3.83;3.63;
21/01/2022;19;36501;2571;16.22;41132;35524;-10.41;3.29;
20/01/2022;24;40740;3004;5.11;43541;40572;-2.25;4.08;
19/01/2022;24;41676;3084;6.45;42581;41180;-1.68;0.285;
18/01/2022;24;42390;3160;4.34;42682;41304;0.35;1.015;
17/01/2022;22;42242;3209;2.92;43191;41568;-1.95;1.15;
16/01/2022;21;43084;3346;1.58;43487;42612;0.03;0.99;
15/01/2022;23;43069;3328;3.2;43806;42600;-0.05;0.04;
14/01/2022;21;43091;3308;4.31;43463;41839;1.24;0.645;
13/01/2022;21;42562;3242;3.74;44427;42334;-3.07;2.155;
12/01/2022;22;43909;3370;3.77;44305;42475;2.73;2.9;
11/01/2022;21;42743;3238;4.79;43113;41287;2.16;0.285;
10/01/2022;23;41839;3085;9.55;42270;39677;-0.03;1.095;
09/01/2022;23;41850;3150;3.72;42790;41275;0.41;0.22;
08/01/2022;10;41679;3080;4.15;42319;40570;0.39;0.01;
07/01/2022;18;41518;3195;7.4;43132;40755;-3.70;2.045;
06/01/2022;15;43111;3407;3.41;43777;42487;-0.71;1.495;
05/01/2022;24;43418;3535;6.93;47057;42519;-5.26;2.275;
04/01/2022;23;45830;3791;3.79;47546;45583;-1.32;1.97;
03/01/2022;29;46445;3764;2.58;47578;45701;-1.84;0.26;
02/01/2022;29;47314;3831;1.84;47980;46698;-0.92;0.46;
01/01/2022;21;47755;3765;2.18;47954;46215;3.33;2.125;
31/12/2021;28;46218;3678;4.25;48589;45697;-1.99;2.66;
30/12/2021;22;47156;3709;3.2;47911;45996;1.49;1.74;
29/12/2021;27;46465;3627;4.12;48166;46129;-2.29;1.89;
28/12/2021;41;47554;3793;5.43;50710;47339;-6.18;1.945;
27/12/2021;40;50684;4036;3.52;52027;50483;-0.22;2.98;
26/12/2021;37;50797;4061;2.9;51281;49473;0.71;0.465;
25/12/2021;39;50437;4093;1.99;51169;50209;-0.74;0.725;
24/12/2021;41;50815;4043;2.6;51834;50439;0.01;0.375;
23/12/2021;34;50812;4110;4.43;51376;48078;4.50;2.245;
22/12/2021;45;48626;3979;3.14;49575;48460;-0.61;2.555;
21/12/2021;27;48923;4016;4.71;49352;46683;4.32;2.465;
20/12/2021;25;46898;3944;5.65;47541;45606;0.39;1.965;
19/12/2021;29;46717;3926;5.24;48283;46475;-0.35;0.37;
18/12/2021;24;46879;3960;3.74;47364;45544;1.49;0.92;
17/12/2021;23;46193;3878;5.86;48029;45539;-3.11;2.3;
16/12/2021;29;47675;3956;3.53;49462;47561;-2.51;0.3;
15/12/2021;28;48901;4019;7.04;49520;46602;1.02;1.765;
14/12/2021;21;48408;3860;5.48;48656;46356;3.49;1.235;
13/12/2021;28;46777;3780;8.71;50223;45790;-6.68;5.085;
12/12/2021;27;50123;4132;3.87;50800;48692;1.54;4.11;
11/12/2021;16;49363;4075;5.29;49510;46897;4.65;1.555;
10/12/2021;24;47170;3904;8.17;50105;47060;-0.93;2.79;
09/12/2021;29;47611;4108;5.28;50824;47408;-5.73;2.4;
08/12/2021;28;50503;4435;4.03;51239;48760;-0.26;2.735;
07/12/2021;25;50634;4307;3.91;51969;50102;0.13;0.195;
06/12/2021;16;50567;4353;8.05;50974;47295;2.22;1.045;
05/12/2021;18;49469;4195;4.78;49752;47860;0.40;0.91;
04/12/2021;25;49272;4118;22.58;53879;42101;-8.26;4.33;
03/12/2021;31;53709;4218;10.73;57599;52062;-4.97;1.645;
02/12/2021;32;56517;4513;4.41;57389;55842;-1.28;1.845;
01/12/2021;34;57250;4583;5.18;59055;56505;0.55;0.915;
30/11/2021;40;56938;4631;6.47;59174;55940;-1.57;1.06;
29/11/2021;33;57845;4443;5.07;58886;56772;0.91;1.24;
28/11/2021;27;57325;4298;4.94;57469;53482;4.54;1.815;
27/11/2021;21;54836;4094;3.09;55329;53711;2.04;1.25;
26/11/2021;47;53738;4034;12.19;59229;53565;-8.91;5.475;
25/11/2021;32;58995;4520;3.98;59423;57070;3.12;6.015;
24/11/2021;42;57209;4270;4.89;57762;55917;-0.68;1.9;
23/11/2021;33;57602;4340;8.56;57866;55460;2.31;1.495;
22/11/2021;50;56299;4087;8.83;59407;55714;-4.24;3.275;
21/11/2021;49;58790;4268;2.44;60047;58624;-1.59;1.325;
20/11/2021;43;59739;4408;3.13;59886;57494;2.77;2.18;
19/11/2021;34;58130;4295;5.18;58379;55670;1.96;0.405;
18/11/2021;54;57014;4003;11.54;60945;56559;-5.58;3.77;
17/11/2021;52;60386;4291;6.72;60847;58427;0.44;3.01;
16/11/2021;71;60124;4208;13.07;63562;58708;-5.41;2.925;
15/11/2021;72;63562;4563;5.27;66320;63383;-2.92;1.245;
14/11/2021;74;65471;4626;2.19;65471;63589;1.65;2.285;
13/11/2021;72;64406;4645;1.87;64968;63405;0.39;0.63;
12/11/2021;74;64156;4665;5.12;65412;62310;-1.00;0.695;
11/11/2021;77;64801;4721;2.86;65541;64089;-0.24;0.38;
10/11/2021;75;64954;4634;12.23;68925;63123;-2.96;1.36;
09/11/2021;84;66935;4732;6.46;68429;66343;-0.88;1.04;
08/11/2021;75;67526;4808;8.98;67665;63259;6.75;3.815;
07/11/2021;73;63259;4612;3.23;63279;61400;2.87;1.94;
06/11/2021;71;61496;4517;2.93;61583;60100;0.79;1.04;
05/11/2021;73;61016;4475;2.26;62598;60746;-0.66;0.725;
04/11/2021;73;61423;4536;2.93;63060;60733;-2.35;0.845;
03/11/2021;76;62904;4602;4.76;63556;60624;-0.55;0.9;
02/11/2021;73;63249;4586;5.2;64263;60661;3.81;2.18;
01/11/2021;74;60927;4321;4.81;62485;59596;-0.66;2.235;
31/10/2021;74;61330;4288;2.42;62414;60021;-0.82;0.08;
30/10/2021;73;61839;4322;2.24;62353;60756;-0.64;0.09;
29/10/2021;70;62235;4414;3.92;62980;60190;2.70;1.67;
28/10/2021;66;60598;4285;8.07;62395;57612;3.67;0.485;
27/10/2021;73;58453;3922;7.14;61448;58096;-3.05;3.36;
26/10/2021;76;60290;4130;4.75;63306;59852;-4.45;0.7;
25/10/2021;72;63100;4220;3.71;63666;60633;3.70;4.075;
24/10/2021;73;60847;4083;2.88;61471;59537;-0.74;2.22;
23/10/2021;74;61302;4169;2.71;61731;59762;0.98;0.86;
22/10/2021;75;60708;3971;6.35;63708;60045;-2.40;1.69;
21/10/2021;84;62200;4054;13.37;66643;62100;-5.74;1.67;
20/10/2021;82;65988;4160;9.26;66927;63536;2.73;4.235;
19/10/2021;75;64237;3877;9.15;64418;61441;3.55;0.41;
18/10/2021;78;62034;3748;8.56;62661;59948;0.85;1.35;
17/10/2021;79;61511;3845;5.14;61652;59073;1.06;0.105;
16/10/2021;78;60868;3828;4.28;62325;60175;-1.36;1.21;
15/10/2021;71;61709;3869;11.88;62897;56889;7.59;4.475;
14/10/2021;70;57354;3790;4.59;58473;56880;-0.05;3.82;
13/10/2021;70;57381;3607;3.09;57758;54310;2.53;1.29;
12/10/2021;78;55967;3489;5.94;57633;54000;-2.61;2.57;
11/10/2021;71;57468;3545;7.51;57803;54430;5.06;3.835;
10/10/2021;71;54701;3415;5.84;56414;54173;-0.50;2.78;
09/10/2021;72;54978;3574;2.44;55444;53711;1.95;1.225;
08/10/2021;74;53925;3559;5.48;56000;53649;0.25;0.85;
07/10/2021;76;53793;3587;4.95;55339;53444;-2.78;1.515;
06/10/2021;68;55331;3576;10.52;55724;50448;7.42;5.1;
05/10/2021;59;51508;3518;6.68;51891;49065;4.58;1.42;
04/10/2021;54;49252;3383;6.19;49503;46951;2.09;1.245;
03/10/2021;49;48243;3416;3.6;49187;47124;1.19;0.45;
02/10/2021;54;47675;3388;2.06;48330;47459;-1.00;1.095;
01/10/2021;27;48157;3310;8.32;48454;43311;9.87;5.435;
30/09/2021;20;43830;3000;5.11;44107;41432;5.48;2.195;
29/09/2021;24;41551;2852;4.39;42591;40811;1.19;2.145;
28/09/2021;25;41064;2808;6.16;42777;40928;-2.67;1.93;
27/09/2021;26;42191;2926;4.26;44354;42144;-2.29;0.19;
26/09/2021;27;43180;3063;5.47;43931;40830;1.10;1.695;
25/09/2021;28;42711;2922;2.96;42977;41731;-0.39;0.745;
24/09/2021;33;42878;2928;11.76;45140;40779;-4.47;2.04;
23/09/2021;27;44882;3153;5.29;44986;43121;2.98;3.725;
22/09/2021;21;43583;3078;8.43;43998;40607;7.18;2.1;
21/09/2021;27;40664;2765;14.96;43622;39678;-5.44;6.31;
20/09/2021;50;43002;2976;12.63;47323;42577;-8.97;1.765;
19/09/2021;53;47239;3328;2.28;48370;46837;-2.21;3.38;
18/09/2021;50;48309;3436;2.05;48794;47070;2.15;2.18;
17/09/2021;48;47292;3398;2.49;48183;46782;-1.03;1.59;
16/09/2021;53;47786;3568;3.61;48518;47080;-0.73;0.15;
15/09/2021;49;48136;3611;3.98;48440;46738;2.25;1.49;
14/09/2021;30;47078;3431;3.52;47235;44726;4.71;1.23;
13/09/2021;44;44960;3285;8.77;46823;43514;-2.41;3.56;
12/09/2021;32;46069;3408;3.39;46391;44780;1.99;2.2;
11/09/2021;31;45169;3267;2.54;45990;44750;0.71;0.64;
10/09/2021;46;44852;3211;5.18;47036;44265;-3.31;2.01;
09/09/2021;45;46389;3423;3.85;47397;45591;0.65;1.98;
08/09/2021;47;46088;3499;7.55;47342;44510;-1.48;1.065;
07/09/2021;79;46778;3422;16.7;52888;43347;-11.20;4.86;
06/09/2021;79;52676;3927;4.84;52709;51062;1.77;6.485;
05/09/2021;73;51762;3951;5.54;51900;49500;3.73;0.98;
04/09/2021;72;49899;3885;2.37;50529;49418;-0.20;1.965;
03/09/2021;74;50000;3935;7.33;51032;48362;1.44;0.82;
02/09/2021;74;49291;3786;4.95;50365;48633;0.92;0.26;
01/09/2021;71;48844;3836;5.71;49102;46600;3.58;1.33;
31/08/2021;73;47157;3429;4.3;48241;46725;0.32;1.63;
30/08/2021;73;47008;3229;4.12;48916;46904;-3.67;1.995;
29/08/2021;72;48800;3222;4.05;49650;47844;-0.23;1.72;
28/08/2021;78;48914;3244;2.3;49310;48400;-0.33;0.05;
27/08/2021;71;49076;3274;5.8;49159;46365;4.79;2.56;
26/08/2021;75;46832;3092;6.48;49385;46371;-4.40;4.595;
25/08/2021;73;48989;3228;4.12;49244;47158;2.67;3.535;
24/08/2021;79;47714;3173;4.77;49857;47604;-3.68;3.175;
23/08/2021;79;49539;3323;5.42;50506;49055;0.56;2.12;
22/08/2021;76;49264;3238;2.75;49487;48121;0.81;0.125;
21/08/2021;78;48868;3224;3.92;49784;48290;-0.94;0.875;
20/08/2021;70;49332;3284;6.04;49362;46660;5.49;3.215;
19/08/2021;70;46765;3183;5.97;47060;43992;4.52;0.485;
18/08/2021;73;44744;3016;5.82;46008;44290;0.10;2.21;
17/08/2021;72;44698;3012;6.93;47157;44467;-2.70;1.4;
16/08/2021;72;45940;3147;6.06;48059;45689;-2.32;0.19;
15/08/2021;71;47031;3308;3.83;47355;45556;-0.11;1.105;
14/08/2021;76;47084;3264;4.35;48120;46036;-1.58;0.735;
13/08/2021;70;47842;3322;7.39;47866;44276;7.70;4.64;
12/08/2021;70;44423;3047;5.64;46185;43789;-2.47;5.085;
11/08/2021;70;45546;3163;4.32;46725;45358;-0.14;1.165;
10/08/2021;71;45612;3139;6.37;46674;44644;-1.47;0.665;
09/08/2021;65;46293;3162;10.72;46432;42792;5.76;3.615;
08/08/2021;74;43770;3014;8.16;45249;43300;-1.84;3.8;
07/08/2021;69;44589;3159;9.32;44689;42464;4.11;2.975;
06/08/2021;52;42830;2891;6.46;43294;39933;4.75;0.32;
05/08/2021;50;40887;2828;6.43;41352;37361;2.85;0.95;
04/08/2021;42;39754;2725;3.67;39965;37564;4.05;0.6;
03/08/2021;48;38207;2508;5.08;39774;37700;-2.42;3.235;
02/08/2021;48;39156;2607;4.62;40441;38716;-1.92;0.25;
