Date	Sentiment	Close	Variation
01/04/2022	50	46301	1.68Ê
31/03/2022	52	45535	-3.19Ê
30/03/2022	55	47035	-0.82Ê
29/03/2022	56	47424	0.68Ê
28/03/2022	60	47105	0.57Ê
27/03/2022	49	46836	5.16Ê
26/03/2022	51	44536	0.45Ê
25/03/2022	47	44337	0.76Ê
24/03/2022	40	44003	2.61Ê
23/03/2022	31	42882	1.21Ê
22/03/2022	26	42370	3.26Ê
21/03/2022	30	41031	-0.53Ê
20/03/2022	31	41249	-2.29Ê
19/03/2022	28	42214	1.05Ê
18/03/2022	25	41774	2.03Ê
17/03/2022	27	40943	-0.50Ê
16/03/2022	24	41148	4.66Ê
15/03/2022	21	39317	-1.01Ê
14/03/2022	23	39717	5.14Ê
13/03/2022	21	37777	-2.68Ê
12/03/2022	22	38816	0.20Ê
11/03/2022	22	38737	-1.83Ê
10/03/2022	28	39459	-5.97Ê
09/03/2022	22	41962	8.27Ê
08/03/2022	21	38757	1.89Ê
07/03/2022	23	38039	-1.04Ê
06/03/2022	22	38437	-2.46Ê
05/03/2022	22	39408	0.61Ê
04/03/2022	33	39171	-7.81Ê
03/03/2022	39	42490	-3.33Ê
02/03/2022	52	43952	-1.10Ê
01/03/2022	51	44442	2.87Ê
28/02/2022	20	43202	14.49Ê
27/02/2022	26	37734	-3.56Ê
26/02/2022	26	39125	-0.30Ê
25/02/2022	27	39243	2.25Ê
24/02/2022	23	38380	2.92Ê
23/02/2022	25	37292	-2.63Ê
22/02/2022	20	38299	3.36Ê
21/02/2022	25	37054	-3.56Ê
20/02/2022	27	38420	-4.29Ê
19/02/2022	25	40141	0.26Ê
18/02/2022	30	40037	-1.28Ê
17/02/2022	52	40556	-7.59Ê
16/02/2022	51	43885	-1.51Ê
15/02/2022	46	44560	4.70Ê
14/02/2022	46	42560	1.11Ê
13/02/2022	44	42091	-0.35Ê
12/02/2022	44	42239	-0.42Ê
11/02/2022	50	42418	-2.59Ê
10/02/2022	50	43545	-2.00Ê
09/02/2022	54	44432	0.84Ê
08/02/2022	48	44061	0.45Ê
07/02/2022	45	43865	3.40Ê
06/02/2022	37	42423	2.34Ê
05/02/2022	33	41454	-0.26Ê
04/02/2022	20	41563	11.34Ê
03/02/2022	20	37331	1.10Ê
02/02/2022	28	36925	-4.67Ê
01/02/2022	26	38733	0.54Ê
31/01/2022	20	38526	1.55Ê
30/01/2022	29	37939	-0.68Ê
29/01/2022	24	38197	1.16Ê
28/01/2022	24	37760	1.46Ê
27/01/2022	20	37217	1.05Ê
26/01/2022	23	36831	-0.44Ê
25/01/2022	12	36994	0.80Ê
24/01/2022	13	36702	1.09Ê
23/01/2022	11	36308	3.43Ê
22/01/2022	13	35103	-3.83Ê
21/01/2022	19	36501	-10.41Ê
20/01/2022	24	40740	-2.25Ê
19/01/2022	24	41676	-1.68Ê
18/01/2022	24	42390	0.35Ê
17/01/2022	22	42242	-1.95Ê
16/01/2022	21	43084	0.03Ê
15/01/2022	23	43069	-0.05Ê
14/01/2022	21	43091	1.24Ê
13/01/2022	21	42562	-3.07Ê
12/01/2022	22	43909	2.73Ê
11/01/2022	21	42743	2.16Ê
10/01/2022	23	41839	-0.03Ê
09/01/2022	23	41850	0.41Ê
08/01/2022	10	41679	0.39Ê
07/01/2022	18	41518	-3.70Ê
06/01/2022	15	43111	-0.71Ê
05/01/2022	24	43418	-5.26Ê
04/01/2022	23	45830	-1.32Ê
03/01/2022	29	46445	-1.84Ê
02/01/2022	29	47314	-0.92Ê
01/01/2022	21	47755	3.33Ê
31/12/2021	28	46218	-1.99Ê
30/12/2021	22	47156	1.49Ê
29/12/2021	27	46465	-2.29Ê
28/12/2021	41	47554	-6.18Ê
27/12/2021	40	50684	-0.22Ê
26/12/2021	37	50797	0.71Ê
25/12/2021	39	50437	-0.74Ê
24/12/2021	41	50815	0.01Ê
23/12/2021	34	50812	4.50Ê
22/12/2021	45	48626	-0.61Ê
21/12/2021	27	48923	4.32Ê
20/12/2021	25	46898	0.39Ê
19/12/2021	29	46717	-0.35Ê
18/12/2021	24	46879	1.49Ê
17/12/2021	23	46193	-3.11Ê
16/12/2021	29	47675	-2.51Ê
15/12/2021	28	48901	1.02Ê
14/12/2021	21	48408	3.49Ê
13/12/2021	28	46777	-6.68Ê
12/12/2021	27	50123	1.54Ê
11/12/2021	16	49363	4.65Ê
10/12/2021	24	47170	-0.93Ê
09/12/2021	29	47611	-5.73Ê
08/12/2021	28	50503	-0.26Ê
07/12/2021	25	50634	0.13Ê
06/12/2021	16	50567	2.22Ê
05/12/2021	18	49469	0.40Ê
04/12/2021	25	49272	-8.26Ê
03/12/2021	31	53709	-4.97Ê
02/12/2021	32	56517	-1.28Ê
01/12/2021	34	57250	0.55Ê
30/11/2021	40	56938	-1.57Ê
29/11/2021	33	57845	0.91Ê
28/11/2021	27	57325	4.54Ê
27/11/2021	21	54836	2.04Ê
26/11/2021	47	53738	-8.91Ê
25/11/2021	32	58995	3.12Ê
24/11/2021	42	57209	-0.68Ê
23/11/2021	33	57602	2.31Ê
22/11/2021	50	56299	-4.24Ê
21/11/2021	49	58790	-1.59Ê
20/11/2021	43	59739	2.77Ê
19/11/2021	34	58130	1.96Ê
18/11/2021	54	57014	-5.58Ê
17/11/2021	52	60386	0.44Ê
16/11/2021	71	60124	-5.41Ê
15/11/2021	72	63562	-2.92Ê
14/11/2021	74	65471	1.65Ê
13/11/2021	72	64406	0.39Ê
12/11/2021	74	64156	-1.00Ê
11/11/2021	77	64801	-0.24Ê
10/11/2021	75	64954	-2.96Ê
09/11/2021	84	66935	-0.88Ê
08/11/2021	75	67526	6.75Ê
07/11/2021	73	63259	2.87Ê
06/11/2021	71	61496	0.79Ê
05/11/2021	73	61016	-0.66Ê
04/11/2021	73	61423	-2.35Ê
03/11/2021	76	62904	-0.55Ê
02/11/2021	73	63249	3.81Ê
01/11/2021	74	60927	-0.66Ê
31/10/2021	74	61330	-0.82Ê
30/10/2021	73	61839	-0.64Ê
29/10/2021	70	62235	2.70Ê
28/10/2021	66	60598	3.67Ê
27/10/2021	73	58453	-3.05Ê
26/10/2021	76	60290	-4.45Ê
25/10/2021	72	63100	3.70Ê
24/10/2021	73	60847	-0.74Ê
23/10/2021	74	61302	0.98Ê
22/10/2021	75	60708	-2.40Ê
21/10/2021	84	62200	-5.74Ê
20/10/2021	82	65988	2.73Ê
19/10/2021	75	64237	3.55Ê
18/10/2021	78	62034	0.85Ê
17/10/2021	79	61511	1.06Ê
16/10/2021	78	60868	-1.36Ê
15/10/2021	71	61709	7.59Ê
14/10/2021	70	57354	-0.05Ê
13/10/2021	70	57381	2.53Ê
12/10/2021	78	55967	-2.61Ê
11/10/2021	71	57468	5.06Ê
10/10/2021	71	54701	-0.50Ê
09/10/2021	72	54978	1.95Ê
08/10/2021	74	53925	0.25Ê
07/10/2021	76	53793	-2.78Ê
06/10/2021	68	55331	7.42Ê
05/10/2021	59	51508	4.58Ê
04/10/2021	54	49252	2.09Ê
03/10/2021	49	48243	1.19Ê
02/10/2021	54	47675	-1.00Ê
01/10/2021	27	48157	9.87Ê
30/09/2021	20	43830	5.48Ê
29/09/2021	24	41551	1.19Ê
28/09/2021	25	41064	-2.67Ê
27/09/2021	26	42191	-2.29Ê
26/09/2021	27	43180	1.10Ê
25/09/2021	28	42711	-0.39Ê
24/09/2021	33	42878	-4.47Ê
23/09/2021	27	44882	2.98Ê
22/09/2021	21	43583	7.18Ê
21/09/2021	27	40664	-5.44Ê
20/09/2021	50	43002	-8.97Ê
19/09/2021	53	47239	-2.21Ê
18/09/2021	50	48309	2.15Ê
17/09/2021	48	47292	-1.03Ê
16/09/2021	53	47786	-0.73Ê
15/09/2021	49	48136	2.25Ê
14/09/2021	30	47078	4.71Ê
13/09/2021	44	44960	-2.41Ê
12/09/2021	32	46069	1.99Ê
11/09/2021	31	45169	0.71Ê
10/09/2021	46	44852	-3.31Ê
09/09/2021	45	46389	0.65Ê
08/09/2021	47	46088	-1.48Ê
07/09/2021	79	46778	-11.20Ê
06/09/2021	79	52676	1.77Ê
05/09/2021	73	51762	3.73Ê
04/09/2021	72	49899	-0.20Ê
03/09/2021	74	50000	1.44Ê
02/09/2021	74	49291	0.92Ê
01/09/2021	71	48844	3.58Ê
31/08/2021	73	47157	0.32Ê
30/08/2021	73	47008	-3.67Ê
29/08/2021	72	48800	-0.23Ê
28/08/2021	78	48914	-0.33Ê
27/08/2021	71	49076	4.79Ê
26/08/2021	75	46832	-4.40Ê
25/08/2021	73	48989	2.67Ê
24/08/2021	79	47714	-3.68Ê
23/08/2021	79	49539	0.56Ê
22/08/2021	76	49264	0.81Ê
21/08/2021	78	48868	-0.94Ê
20/08/2021	70	49332	5.49Ê
19/08/2021	70	46765	4.52Ê
18/08/2021	73	44744	0.10Ê
17/08/2021	72	44698	-2.70Ê
16/08/2021	72	45940	-2.32Ê
15/08/2021	71	47031	-0.11Ê
14/08/2021	76	47084	-1.58Ê
13/08/2021	70	47842	7.70Ê
12/08/2021	70	44423	-2.47Ê
11/08/2021	70	45546	-0.14Ê
10/08/2021	71	45612	-1.47Ê
09/08/2021	65	46293	5.76Ê
08/08/2021	74	43770	-1.84Ê
07/08/2021	69	44589	4.11Ê
06/08/2021	52	42830	4.75Ê
05/08/2021	50	40887	2.85Ê
04/08/2021	42	39754	4.05Ê
03/08/2021	48	38207	-2.42Ê
02/08/2021	48	39156	-1.92Ê
01/08/2021	60	39922	-3.59Ê
31/07/2021	60	41409	-1.80Ê
30/07/2021	53	42169	5.31Ê
29/07/2021	50	40041	0.09Ê
28/07/2021	50	40004	1.11Ê
27/07/2021	32	39563	6.08Ê
26/07/2021	26	37296	5.34Ê
25/07/2021	27	35407	4.62Ê
24/07/2021	22	33845	0.74Ê
23/07/2021	23	33597	3.95Ê
22/07/2021	21	32320	0.56Ê
21/07/2021	10	32141	7.83Ê
20/07/2021	19	29806	-3.37Ê
19/07/2021	24	30847	-3.07Ê
18/07/2021	19	31824	0.84Ê
17/07/2021	15	31559	0.41Ê
16/07/2021	22	31429	-1.34Ê
15/07/2021	20	31857	-2.94Ê
14/07/2021	21	32823	0.29Ê
13/07/2021	20	32727	-1.10Ê
12/07/2021	25	33090	-3.36Ê
11/07/2021	20	34239	2.19Ê
10/07/2021	20	33506	-0.78Ê
09/07/2021	20	33769	2.72Ê
08/07/2021	20	32874	-2.99Ê
07/07/2021	28	33886	-0.74Ê
06/07/2021	20	34140	1.40Ê
05/07/2021	29	33668	-4.59Ê
04/07/2021	27	35289	1.53Ê
03/07/2021	24	34758	2.79Ê
02/07/2021	21	33816	0.78Ê
01/07/2021	28	33554	-4.25Ê
30/06/2021	28	35044	-2.37Ê
29/06/2021	25	35896	4.09Ê
28/06/2021	25	34484	-0.67Ê
27/06/2021	22	34717	7.29Ê
26/06/2021	20	32359	2.45Ê
25/06/2021	27	31584	-8.87Ê
24/06/2021	22	34657	2.83Ê
23/06/2021	14	33703	3.53Ê
22/06/2021	10	32553	2.49Ê
21/06/2021	23	31761	-10.86Ê
20/06/2021	21	35631	0.13Ê
19/06/2021	23	35586	-0.60Ê
18/06/2021	25	35802	-5.94Ê
17/06/2021	26	38061	-0.71Ê
16/06/2021	33	38332	-4.50Ê
15/06/2021	38	40139	-0.89Ê
14/06/2021	28	40500	3.84Ê
13/06/2021	23	39004	9.77Ê
12/06/2021	28	35531	-4.84Ê
11/06/2021	21	37338	1.88Ê
10/06/2021	21	36649	-1.87Ê
09/06/2021	14	37347	11.77Ê
08/06/2021	13	33415	-0.54Ê
07/06/2021	15	33596	-6.11Ê
06/06/2021	17	35782	0.67Ê
05/06/2021	24	35543	-3.56Ê
04/06/2021	27	36854	-6.01Ê
03/06/2021	24	39209	4.31Ê
02/06/2021	23	37590	2.50Ê
01/06/2021	20	36673	-1.70Ê
31/05/2021	18	37305	4.75Ê
30/05/2021	10	35615	3.02Ê
29/05/2021	18	34570	-3.08Ê
28/05/2021	21	35667	-7.20Ê
27/05/2021	27	38435	-2.20Ê
26/05/2021	22	39301	2.45Ê
25/05/2021	22	38363	-1.06Ê
24/05/2021	10	38773	11.64Ê
23/05/2021	14	34730	-7.60Ê
22/05/2021	12	37585	0.45Ê
21/05/2021	19	37415	-7.79Ê
20/05/2021	11	40578	10.40Ê
19/05/2021	23	36755	-14.39Ê
18/05/2021	21	42935	-1.40Ê
17/05/2021	27	43544	-6.52Ê
16/05/2021	20	46583	-0.43Ê
15/05/2021	27	46785	-6.27Ê
14/05/2021	26	49917	0.34Ê
13/05/2021	31	49747	0.04Ê
12/05/2021	68	49725	-12.32Ê
11/05/2021	61	56715	1.55Ê
10/05/2021	72	55851	-4.16Ê
09/05/2021	73	58276	-1.05Ê
08/05/2021	67	58894	2.69Ê
07/05/2021	64	57349	1.59Ê
06/05/2021	65	56451	-1.79Ê
05/05/2021	48	57477	7.91Ê
04/05/2021	68	53264	-6.79Ê
03/05/2021	61	57147	0.96Ê
02/05/2021	66	56605	-2.02Ê
01/05/2021	68	57774	0.24Ê
30/04/2021	51	57637	7.60Ê
29/04/2021	52	53566	-2.36Ê
28/04/2021	59	54860	-0.33Ê
27/04/2021	50	55044	1.74Ê
26/04/2021	27	54103	10.15Ê
25/04/2021	31	49116	-2.09Ê
24/04/2021	37	50167	-1.90Ê
23/04/2021	55	51139	-1.24Ê
22/04/2021	65	51781	-3.79Ê
21/04/2021	73	53822	-4.70Ê
20/04/2021	73	56476	1.50Ê
19/04/2021	74	55639	-0.93Ê
18/04/2021	79	56163	-6.35Ê
17/04/2021	76	59970	-2.21Ê
16/04/2021	78	61325	-2.96Ê
15/04/2021	79	63196	0.40Ê
14/04/2021	75	62943	-0.91Ê
13/04/2021	74	63518	6.04Ê
12/04/2021	74	59900	-0.22Ê
11/04/2021	76	60035	0.35Ê
10/04/2021	70	59824	2.94Ê
09/04/2021	70	58114	0.01Ê
08/04/2021	73	58110	3.84Ê
07/04/2021	72	55960	-3.50Ê
06/04/2021	75	57991	-1.95Ê
05/04/2021	71	59145	1.55Ê
04/04/2021	74	58240	2.13Ê
03/04/2021	73	57023	-3.28Ê
02/04/2021	74	58959	0.39Ê
01/04/2021	74	58727	-0.12Ê
31/03/2021	76	58796	-0.08Ê
30/03/2021	72	58841	2.03Ê
29/03/2021	72	57672	3.41Ê
28/03/2021	74	55773	-0.20Ê
27/03/2021	65	55886	1.62Ê
26/03/2021	54	54993	7.07Ê
25/03/2021	60	51363	-1.88Ê
24/03/2021	65	52347	-3.65Ê
23/03/2021	66	54331	0.48Ê
22/03/2021	70	54074	-5.74Ê
21/03/2021	73	57368	-1.24Ê
20/03/2021	75	58087	0.02Ê
19/03/2021	71	58074	0.75Ê
18/03/2021	72	57640	-2.09Ê
17/03/2021	71	58870	3.42Ê
16/03/2021	71	56924	2.30Ê
15/03/2021	76	55644	-5.70Ê
14/03/2021	78	59005	-3.60Ê
13/03/2021	74	61207	6.79Ê
12/03/2021	70	57315	-0.96Ê
11/03/2021	73	57869	3.42Ê
10/03/2021	68	55955	1.83Ê
09/03/2021	81	54949	4.88Ê
08/03/2021	81	52395	2.67Ê
07/03/2021	76	51031	4.37Ê
06/03/2021	77	48895	0.17Ê
05/03/2021	77	48811	0.92Ê
04/03/2021	84	48368	-4.08Ê
03/03/2021	78	50425	3.91Ê
02/03/2021	78	48526	-2.11Ê
01/03/2021	38	49572	9.43Ê
28/02/2021	55	45300	-1.98Ê
27/02/2021	56	46217	-0.22Ê
26/02/2021	55	46319	-1.75Ê
25/02/2021	79	47144	-5.17Ê
24/02/2021	76	49715	1.69Ê
23/02/2021	94	48888	-9.60Ê
22/02/2021	94	54078	-5.75Ê
21/02/2021	91	57376	2.75Ê
20/02/2021	91	55838	-0.02Ê
19/02/2021	93	55847	8.30Ê
18/02/2021	91	51566	-0.95Ê
17/02/2021	95	52060	5.76Ê
16/02/2021	95	49225	2.68Ê
15/02/2021	93	47941	-1.33Ê
14/02/2021	95	48587	2.99Ê
13/02/2021	92	47177	-0.45Ê
12/02/2021	92	47389	-1.20Ê
11/02/2021	93	47966	6.98Ê
10/02/2021	92	44835	-3.55Ê
09/02/2021	95	46486	0.10Ê
08/02/2021	83	46440	19.56Ê
07/02/2021	86	38841	-1.06Ê
06/02/2021	84	39257	2.61Ê
05/02/2021	81	38260	3.48Ê
04/02/2021	80	36975	-1.86Ê
03/02/2021	78	37677	5.94Ê
02/02/2021	76	35563	5.97Ê
01/02/2021	77	33559	1.26Ê
31/01/2021	78	33141	-3.47Ê
30/01/2021	76	34334	0.16Ê
29/01/2021	77	34281	2.85Ê
28/01/2021	55	33331	9.45Ê
27/01/2021	78	30454	-6.35Ê
26/01/2021	71	32519	0.78Ê
25/01/2021	74	32268	-0.09Ê
24/01/2021	70	32298	0.62Ê
23/01/2021	74	32099	-2.91Ê
22/01/2021	40	33062	7.09Ê
21/01/2021	75	30873	-13.09Ê
20/01/2021	78	35521	-1.22Ê
19/01/2021	80	35958	-2.02Ê
18/01/2021	79	36699	2.22Ê
17/01/2021	79	35903	-0.42Ê
16/01/2021	84	36055	-1.87Ê
15/01/2021	88	36741	-6.20Ê
14/01/2021	83	39170	4.80Ê
13/01/2021	78	37375	9.59Ê
12/01/2021	84	34103	-3.87Ê
11/01/2021	90	35476	-7.19Ê
10/01/2021	94	38226	-4.84Ê
09/01/2021	93	40171	-0.83Ê
08/01/2021	93	40509	2.80Ê
07/01/2021	91	39407	7.22Ê
06/01/2021	95	36755	8.12Ê
05/01/2021	93	33996	6.17Ê
04/01/2021	94	32020	-2.88Ê
03/01/2021	93	32971	2.44Ê
02/01/2021	94	32185	9.67Ê
01/01/2021	94	29346	1.43Ê
31/12/2020	95	28933	0.18Ê
30/12/2020	91	28880	5.73Ê
29/12/2020	91	27315	0.95Ê
28/12/2020	92	27058	3.11Ê
27/12/2020	91	26241	-0.65Ê
26/12/2020	93	26412	6.86Ê
25/12/2020	94	24717	4.14Ê
24/12/2020	86	23735	2.16Ê
23/12/2020	93	23234	-2.40Ê
22/12/2020	88	23805	4.86Ê
21/12/2020	92	22701	-3.10Ê
20/12/2020	92	23427	-1.58Ê
19/12/2020	93	23804	2.93Ê
18/12/2020	95	23127	1.41Ê
17/12/2020	92	22807	6.96Ê
16/12/2020	92	21322	9.57Ê
15/12/2020	91	19459	0.92Ê
14/12/2020	95	19281	0.53Ê
13/12/2020	91	19180	1.96Ê
12/12/2020	90	18811	4.21Ê
11/12/2020	89	18050	-1.15Ê
10/12/2020	94	18260	-1.62Ê
09/12/2020	86	18560	1.23Ê
08/12/2020	95	18335	-4.49Ê
07/12/2020	94	19196	-1.10Ê
06/12/2020	95	19410	1.32Ê
05/12/2020	93	19157	2.68Ê
04/12/2020	92	18657	-4.06Ê
03/12/2020	92	19447	1.07Ê
02/12/2020	92	19241	2.31Ê
01/12/2020	95	18807	-4.47Ê
30/11/2020	88	19686	8.19Ê
29/11/2020	89	18196	2.54Ê
28/11/2020	87	17746	3.36Ê
27/11/2020	86	17169	-0.29Ê
26/11/2020	93	17219	-8.07Ê
